name	x	y	z	size	type
A1	8.502	-25.361	-20.498	unknown	SEEG
A2	9.909	-28.510	-20.498	unknown	SEEG
A3	11.481	-31.710	-19.969	unknown	SEEG
A4	12.888	-34.746	-19.721	unknown	SEEG
A5	14.295	-37.845	-19.597	unknown	SEEG
A6	16.116	-41.005	-19.535	unknown	SEEG
A7	17.551	-44.063	-19.474	unknown	SEEG
A8	19.110	-47.162	-19.412	unknown	SEEG
A9	20.732	-50.384	-19.474	unknown	SEEG
A10	22.280	-53.507	-19.593	unknown	SEEG
B1	30.158	-54.576	-14.000	unknown	SEEG
B2	33.819	-53.110	-15.000	unknown	SEEG
B3	37.480	-51.563	-16.000	unknown	SEEG
B4	41.466	-49.527	-17.000	unknown	SEEG
B5	45.127	-47.247	-18.000	unknown	SEEG
B6	48.870	-44.804	-19.000	unknown	SEEG
B7	52.449	-41.709	-19.000	unknown	SEEG
B8	55.378	-38.533	-19.000	unknown	SEEG
B9	58.284	-35.274	-20.000	unknown	SEEG
B10	61.109	-32.077	-20.000	unknown	SEEG
B11	64.059	-28.571	-20.000	unknown	SEEG
B12	66.917	-25.157	-20.000	unknown	SEEG
B13	69.590	-21.835	-20.000	unknown	SEEG
B14	72.448	-18.421	-20.000	unknown	SEEG
B15	75.397	-15.099	-20.000	unknown	SEEG
B16	78.616	-12.200	-19.754	unknown	SEEG
C1	3.214	-23.602	-17.000	unknown	SEEG
C2	7.778	-22.841	-16.000	unknown	SEEG
C3	11.962	-22.384	-15.000	unknown	SEEG
C4	16.070	-21.775	-14.000	unknown	SEEG
C5	20.482	-20.937	-14.000	unknown	SEEG
C6	25.122	-20.176	-14.000	unknown	SEEG
C7	29.306	-19.262	-14.000	unknown	SEEG
C8	33.835	-18.565	-14.000	unknown	SEEG
C9	38.332	-17.493	-14.000	unknown	SEEG
C10	42.552	-16.549	-14.000	unknown	SEEG
C11	46.515	-15.521	-14.000	unknown	SEEG
C12	50.918	-14.639	-15.000	unknown	SEEG
C13	55.322	-13.464	-15.000	unknown	SEEG
C14	59.133	-12.481	-15.000	unknown	SEEG
C15	63.577	-11.369	-16.000	unknown	SEEG
C16	67.621	-10.335	-16.000	unknown	SEEG
D1	60.393	10.803	-12.000	unknown	SEEG
D2	61.728	8.250	-12.000	unknown	SEEG
D3	63.671	5.235	-12.489	unknown	SEEG
D4	65.614	2.452	-12.489	unknown	SEEG
D5	67.921	-0.332	-13.544	unknown	SEEG
D6	69.985	-3.492	-13.619	unknown	SEEG
D7	71.927	-6.351	-14.297	unknown	SEEG
D8	73.870	-9.209	-14.447	unknown	SEEG
D9	76.056	-12.369	-15.427	unknown	SEEG
D10	77.779	-15.086	-15.507	unknown	SEEG
E1	29.331	-54.754	-11.000	unknown	SEEG
E2	32.313	-53.191	-10.532	unknown	SEEG
E3	35.713	-51.382	-10.411	unknown	SEEG
E4	39.112	-49.211	-10.411	unknown	SEEG
E5	42.633	-47.018	-10.000	unknown	SEEG
E6	46.033	-45.111	-9.687	unknown	SEEG
E7	49.311	-42.819	-9.687	unknown	SEEG
E8	52.590	-40.407	-9.566	unknown	SEEG
E9	55.989	-38.236	-9.687	unknown	SEEG
E10	59.025	-35.944	-9.687	unknown	SEEG
E11	62.181	-33.532	-9.325	unknown	SEEG
E12	65.460	-30.999	-9.566	unknown	SEEG
E13	68.738	-28.587	-9.566	unknown	SEEG
E14	71.773	-26.054	-9.446	unknown	SEEG
E15	74.809	-23.642	-9.325	unknown	SEEG
E16	77.679	-21.501	-9.451	unknown	SEEG
F1	20.345	-36.941	-2.874	unknown	SEEG
F2	22.114	-39.847	-2.874	unknown	SEEG
F3	23.692	-42.642	-2.874	unknown	SEEG
F4	25.514	-45.714	-3.288	unknown	SEEG
F5	27.578	-48.849	-3.530	unknown	SEEG
F6	29.344	-51.943	-3.577	unknown	SEEG
G1	28.497	-44.508	6.913	unknown	SEEG
G2	31.542	-42.940	6.491	unknown	SEEG
G3	35.348	-40.889	6.128	unknown	SEEG
G4	39.481	-38.718	5.646	unknown	SEEG
G5	43.287	-36.668	5.404	unknown	SEEG
G6	47.310	-34.738	4.800	unknown	SEEG
G7	51.334	-32.567	4.559	unknown	SEEG
G8	55.358	-30.517	4.438	unknown	SEEG
G9	59.490	-28.615	4.000	unknown	SEEG
G10	63.514	-26.778	3.472	unknown	SEEG
G11	67.290	-25.200	3.000	unknown	SEEG
G12	71.438	-23.233	3.000	unknown	SEEG
G13	75.342	-21.351	2.627	unknown	SEEG
G14	79.535	-19.470	2.000	unknown	SEEG
G15	83.267	-17.612	1.420	unknown	SEEG
G16	86.989	-15.397	0.830	unknown	SEEG
H1	56.503	13.489	12.485	unknown	SEEG
H2	58.175	10.405	12.485	unknown	SEEG
H3	60.112	7.715	12.325	unknown	SEEG
H4	61.873	4.756	12.007	unknown	SEEG
H5	63.898	1.691	11.796	unknown	SEEG
H6	65.659	-1.163	11.478	unknown	SEEG
H7	67.596	-4.178	11.000	unknown	SEEG
H8	69.344	-7.081	10.738	unknown	SEEG
H9	71.423	-10.146	10.421	unknown	SEEG
H10	73.218	-13.187	10.000	unknown	SEEG
H11	75.268	-16.170	9.363	unknown	SEEG
H12	76.964	-19.176	9.000	unknown	SEEG
