name	x	y	z	size	type
A1	10.572	16.630	3.500	unknown	SEEG
A2	13.385	16.125	4.241	unknown	SEEG
A3	16.994	15.669	4.500	unknown	SEEG
A4	20.242	15.078	5.500	unknown	SEEG
A5	23.748	14.109	6.169	unknown	SEEG
A6	26.857	13.605	6.910	unknown	SEEG
A7	30.411	13.102	7.651	unknown	SEEG
A8	33.529	12.712	8.500	unknown	SEEG
A9	36.924	11.973	9.500	unknown	SEEG
A10	39.877	11.529	10.500	unknown	SEEG
A11	43.439	10.938	11.803	unknown	SEEG
A12	46.568	10.447	12.500	unknown	SEEG
B1	-48.048	-25.699	18.573	unknown	SEEG
B2	-51.305	-25.699	17.831	unknown	SEEG
B3	-54.562	-25.699	16.942	unknown	SEEG
B4	-58.115	-26.203	15.904	unknown	SEEG
B5	-61.521	-26.203	15.311	unknown	SEEG
B6	-64.926	-26.203	14.569	unknown	SEEG
B7	-68.183	-26.203	13.828	unknown	SEEG
B8	-71.588	-26.736	12.938	unknown	SEEG
B9	-75.141	-26.736	11.901	unknown	SEEG
B10	-78.398	-26.736	11.011	unknown	SEEG
B11	-81.988	-26.861	10.500	unknown	SEEG
C1	-46.175	16.790	23.500	unknown	SEEG
C2	-49.054	16.124	22.500	unknown	SEEG
C3	-52.638	15.621	21.983	unknown	SEEG
C4	-56.191	15.117	20.945	unknown	SEEG
C5	-59.596	14.613	20.055	unknown	SEEG
C6	-63.001	14.109	19.314	unknown	SEEG
C7	-66.179	13.315	18.500	unknown	SEEG
C8	-69.515	12.598	17.683	unknown	SEEG
C9	-72.921	12.094	16.793	unknown	SEEG
C10	-76.474	11.590	16.052	unknown	SEEG
C11	-79.879	11.329	14.825	unknown	SEEG
C12	-83.009	10.802	14.500	unknown	SEEG
C13	-86.553	10.210	13.500	unknown	SEEG
C14	-90.069	9.538	12.500	unknown	SEEG
D1	-45.383	-16.675	20.500	unknown	SEEG
D2	-48.196	-16.629	19.907	unknown	SEEG
D3	-51.510	-16.749	19.500	unknown	SEEG
D4	-55.450	-16.629	19.166	unknown	SEEG
D5	-58.708	-16.629	19.017	unknown	SEEG
D6	-62.287	-16.453	18.500	unknown	SEEG
D7	-65.962	-16.629	17.980	unknown	SEEG
D8	-69.367	-16.357	17.939	unknown	SEEG
D9	-72.917	-16.357	17.346	unknown	SEEG
D10	-76.326	-16.357	17.197	unknown	SEEG
D11	-79.879	-15.912	17.049	unknown	SEEG
D12	-83.103	-16.157	16.500	unknown	SEEG
D13	-86.425	-16.008	16.500	unknown	SEEG
E1	11.362	39.841	14.500	unknown	SEEG
E2	13.731	39.472	15.834	unknown	SEEG
E3	16.692	39.305	17.020	unknown	SEEG
E4	19.704	38.880	18.500	unknown	SEEG
E5	23.058	38.297	19.986	unknown	SEEG
E6	26.200	37.845	21.500	unknown	SEEG
E7	29.448	37.550	23.500	unknown	SEEG
E8	32.252	37.254	24.500	unknown	SEEG
E9	35.501	36.663	26.500	unknown	SEEG
E10	38.601	36.219	27.500	unknown	SEEG
E11	41.553	36.219	29.500	unknown	SEEG
E12	44.526	35.777	31.254	unknown	SEEG
E13	47.703	35.387	32.500	unknown	SEEG
F1	-46.007	9.626	25.500	unknown	SEEG
F2	-48.524	8.566	25.203	unknown	SEEG
F3	-51.781	7.055	25.055	unknown	SEEG
F4	-54.742	5.543	25.055	unknown	SEEG
F5	-57.703	4.031	25.055	unknown	SEEG
F6	-60.812	2.520	25.055	unknown	SEEG
F7	-64.217	1.008	24.759	unknown	SEEG
F8	-67.770	-0.504	24.907	unknown	SEEG
F9	-70.435	-2.520	24.907	unknown	SEEG
F10	-73.840	-3.527	24.907	unknown	SEEG
F11	-76.949	-5.543	24.907	unknown	SEEG
F12	-79.762	-7.055	24.759	unknown	SEEG
F13	-83.284	-8.485	24.500	unknown	SEEG
F14	-86.350	-10.331	24.500	unknown	SEEG
G1	-7.627	-11.374	49.500	unknown	SEEG
G2	-6.335	-12.197	52.500	unknown	SEEG
G3	-5.154	-12.937	55.500	unknown	SEEG
G4	-3.973	-13.727	58.790	unknown	SEEG
G5	-2.792	-14.319	62.200	unknown	SEEG
G6	-1.464	-15.007	65.500	unknown	SEEG
G7	0.174	-15.618	68.500	unknown	SEEG
H1	-6.285	2.143	55.500	unknown	SEEG
H2	-5.893	1.405	58.500	unknown	SEEG
H3	-5.450	0.961	61.500	unknown	SEEG
H4	-5.007	0.074	65.500	unknown	SEEG
H5	-4.416	-0.517	69.500	unknown	SEEG
H6	-3.715	-1.179	73.500	unknown	SEEG
I1	2.117	11.367	66.500	unknown	SEEG
I2	2.227	12.050	69.500	unknown	SEEG
I3	2.491	12.991	72.500	unknown	SEEG
