name	x	y	z	size	type
A1	21.376	35.887	14.035	unknown	SEEG
A2	24.381	35.335	13.963	unknown	SEEG
A3	27.919	35.328	13.289	unknown	SEEG
A4	31.287	34.949	12.621	unknown	SEEG
A5	34.638	34.706	11.950	unknown	SEEG
A6	37.950	34.369	11.308	unknown	SEEG
A7	41.403	34.010	10.895	unknown	SEEG
A8	44.823	33.668	10.320	unknown	SEEG
A9	48.312	33.316	9.711	unknown	SEEG
A10	51.903	32.946	9.490	unknown	SEEG
B1	23.930	16.128	16.954	unknown	SEEG
B2	27.256	16.197	16.596	unknown	SEEG
B3	30.557	16.088	16.076	unknown	SEEG
B4	33.996	16.103	15.604	unknown	SEEG
B5	37.582	15.984	15.235	unknown	SEEG
B6	40.977	15.922	14.980	unknown	SEEG
B7	44.486	15.809	14.566	unknown	SEEG
B8	47.984	15.698	14.163	unknown	SEEG
B9	51.562	15.697	13.884	unknown	SEEG
B10	55.127	15.755	13.613	unknown	SEEG
B11	58.602	15.751	13.403	unknown	SEEG
B12	62.182	15.786	13.011	unknown	SEEG
C1	27.093	0.327	13.505	unknown	SEEG
C2	30.816	-0.062	14.323	unknown	SEEG
C3	34.030	0.110	15.500	unknown	SEEG
C4	37.240	0.022	16.358	unknown	SEEG
C5	40.574	0.000	17.251	unknown	SEEG
C6	43.980	0.053	18.224	unknown	SEEG
C7	47.630	0.031	19.156	unknown	SEEG
C8	50.880	-0.038	19.974	unknown	SEEG
C9	54.511	-0.039	20.865	unknown	SEEG
C10	57.729	0.017	21.477	unknown	SEEG
C11	61.091	0.064	22.233	unknown	SEEG
C12	64.515	0.396	22.677	unknown	SEEG
D1	28.188	-12.603	19.482	unknown	SEEG
D2	31.562	-12.213	20.625	unknown	SEEG
D3	35.224	-11.431	20.890	unknown	SEEG
D4	38.825	-10.836	21.266	unknown	SEEG
D5	42.247	-10.120	21.936	unknown	SEEG
D6	45.292	-9.880	22.062	unknown	SEEG
D7	48.679	-9.194	22.702	unknown	SEEG
D8	52.033	-8.699	23.018	unknown	SEEG
D9	55.578	-8.380	23.558	unknown	SEEG
D10	58.994	-8.050	23.829	unknown	SEEG
D11	62.442	-7.765	24.114	unknown	SEEG
D12	65.789	-7.697	24.442	unknown	SEEG
E1	28.921	-18.622	19.806	unknown	SEEG
E2	31.965	-18.383	19.932	unknown	SEEG
E3	35.328	-18.179	20.135	unknown	SEEG
E4	38.812	-17.996	20.299	unknown	SEEG
E5	42.199	-17.808	20.392	unknown	SEEG
E6	45.601	-17.654	20.444	unknown	SEEG
E7	49.036	-17.558	20.539	unknown	SEEG
E8	52.422	-17.500	20.657	unknown	SEEG
E9	56.195	-17.503	20.887	unknown	SEEG
E10	59.669	-17.490	20.989	unknown	SEEG
E11	63.126	-17.443	21.107	unknown	SEEG
E12	66.153	-17.309	20.666	unknown	SEEG
F1	0.323	26.745	32.844	unknown	SEEG
F2	3.735	26.601	32.744	unknown	SEEG
F3	7.404	26.835	31.522	unknown	SEEG
F4	11.341	26.585	30.642	unknown	SEEG
F5	15.376	26.429	29.862	unknown	SEEG
F6	19.184	26.309	29.090	unknown	SEEG
F7	23.030	26.128	28.289	unknown	SEEG
F8	26.747	26.176	27.113	unknown	SEEG
F9	30.592	26.031	26.336	unknown	SEEG
F10	34.497	26.132	25.513	unknown	SEEG
F11	38.334	26.337	24.274	unknown	SEEG
F12	42.374	26.301	23.573	unknown	SEEG
F13	46.455	26.496	22.668	unknown	SEEG
F14	50.228	26.723	21.767	unknown	SEEG
F15	54.196	26.809	21.230	unknown	SEEG
F16	58.037	27.097	20.012	unknown	SEEG
G1	-0.849	13.551	31.896	unknown	SEEG
G2	2.176	13.395	31.923	unknown	SEEG
G3	5.981	13.111	32.049	unknown	SEEG
G4	10.061	12.829	31.851	unknown	SEEG
G5	13.901	12.641	31.613	unknown	SEEG
G6	17.828	12.361	31.269	unknown	SEEG
G7	21.820	12.190	30.872	unknown	SEEG
G8	25.605	12.092	30.369	unknown	SEEG
G9	29.537	12.105	29.974	unknown	SEEG
G10	33.403	12.142	29.333	unknown	SEEG
G11	37.329	12.249	28.578	unknown	SEEG
G12	41.421	12.295	28.195	unknown	SEEG
G13	45.207	12.433	27.560	unknown	SEEG
G14	49.037	12.526	26.959	unknown	SEEG
G15	53.081	12.812	26.579	unknown	SEEG
G16	57.140	12.937	26.242	unknown	SEEG
H1	-1.544	3.320	35.965	unknown	SEEG
H2	1.799	3.031	35.816	unknown	SEEG
H3	5.964	2.692	35.410	unknown	SEEG
H4	10.042	2.532	35.033	unknown	SEEG
H5	13.973	2.457	34.435	unknown	SEEG
H6	17.840	2.483	33.809	unknown	SEEG
H7	21.934	2.517	33.244	unknown	SEEG
H8	25.664	2.598	32.516	unknown	SEEG
H9	29.503	2.751	31.843	unknown	SEEG
H10	33.355	2.852	31.512	unknown	SEEG
H11	37.146	2.934	30.948	unknown	SEEG
H12	41.270	3.138	30.429	unknown	SEEG
H13	45.144	3.303	29.983	unknown	SEEG
H14	48.807	3.835	28.890	unknown	SEEG
H15	53.201	4.140	28.967	unknown	SEEG
H16	57.055	4.415	28.441	unknown	SEEG
I1	0.972	-13.253	42.635	unknown	SEEG
I2	4.075	-13.152	41.616	unknown	SEEG
I3	8.270	-13.217	40.871	unknown	SEEG
I4	12.152	-12.946	40.036	unknown	SEEG
I5	16.051	-12.423	38.861	unknown	SEEG
I6	19.751	-11.992	37.729	unknown	SEEG
I7	23.717	-11.694	36.955	unknown	SEEG
I8	27.425	-11.408	36.313	unknown	SEEG
I9	31.159	-11.000	35.236	unknown	SEEG
I10	35.171	-10.677	34.639	unknown	SEEG
I11	39.127	-10.264	33.834	unknown	SEEG
I12	43.317	-10.040	33.570	unknown	SEEG
I13	47.089	-9.804	33.087	unknown	SEEG
I14	51.053	-9.480	32.688	unknown	SEEG
I15	55.101	-9.059	32.411	unknown	SEEG
I16	59.057	-8.722	32.123	unknown	SEEG
J1	0.541	-24.802	44.713	unknown	SEEG
J2	4.151	-24.951	43.372	unknown	SEEG
J3	8.184	-24.937	41.855	unknown	SEEG
J4	12.339	-24.770	40.084	unknown	SEEG
J5	16.450	-24.724	38.710	unknown	SEEG
J6	20.736	-24.518	36.993	unknown	SEEG
J7	24.796	-24.446	35.480	unknown	SEEG
J8	29.256	-24.253	34.518	unknown	SEEG
J9	33.484	-23.966	33.169	unknown	SEEG
J10	37.927	-23.770	32.703	unknown	SEEG
J11	42.434	-23.429	31.965	unknown	SEEG
J12	46.662	-23.166	31.299	unknown	SEEG
J13	51.069	-22.923	30.784	unknown	SEEG
J14	55.199	-22.651	30.150	unknown	SEEG
J15	59.528	-22.312	29.411	unknown	SEEG
J16	63.839	-22.192	28.852	unknown	SEEG
K1	5.415	7.960	55.505	unknown	SEEG
K2	8.474	8.604	54.645	unknown	SEEG
K3	12.201	9.660	53.399	unknown	SEEG
K4	16.015	10.779	51.885	unknown	SEEG
K5	19.533	11.493	50.940	unknown	SEEG
K6	23.455	11.748	50.361	unknown	SEEG
K7	27.123	12.035	49.273	unknown	SEEG
K8	30.933	11.870	48.657	unknown	SEEG
K9	34.809	11.800	47.763	unknown	SEEG
K10	38.797	11.312	47.322	unknown	SEEG
K11	42.585	11.170	46.452	unknown	SEEG
K12	46.428	11.001	45.538	unknown	SEEG
K13	49.987	11.230	43.946	unknown	SEEG
K14	53.441	11.593	42.460	unknown	SEEG
K15	57.030	12.360	40.366	unknown	SEEG
K16	58.969	12.423	39.729	unknown	SEEG
L1	-0.086	-15.106	53.682	unknown	SEEG
L2	2.953	-14.494	53.609	unknown	SEEG
L3	6.358	-13.846	52.634	unknown	SEEG
L4	9.843	-13.426	52.066	unknown	SEEG
L5	13.164	-13.001	51.654	unknown	SEEG
L6	16.586	-12.593	51.231	unknown	SEEG
L7	19.955	-12.194	50.772	unknown	SEEG
L8	23.452	-11.711	50.706	unknown	SEEG
L9	27.021	-11.149	50.314	unknown	SEEG
L10	30.502	-10.552	50.104	unknown	SEEG
L11	33.920	-10.108	49.782	unknown	SEEG
L12	37.582	-10.075	49.645	unknown	SEEG
L13	40.863	-9.085	49.151	unknown	SEEG
L14	44.157	-8.930	48.822	unknown	SEEG
L15	47.648	-8.816	47.676	unknown	SEEG
L16	51.546	-8.294	46.501	unknown	SEEG
M1	52.991	11.027	4.363	unknown	SEEG
M2	52.718	9.462	7.303	unknown	SEEG
M3	52.754	7.652	11.162	unknown	SEEG
M4	52.131	6.866	14.428	unknown	SEEG
M5	51.877	5.697	17.467	unknown	SEEG
M6	51.157	4.257	21.680	unknown	SEEG
M7	50.147	3.459	25.073	unknown	SEEG
M8	49.234	3.313	27.518	unknown	SEEG
M9	48.244	2.911	31.011	unknown	SEEG
M10	47.641	2.520	34.375	unknown	SEEG
M11	47.058	2.526	37.839	unknown	SEEG
M12	46.847	2.279	41.598	unknown	SEEG
M13	45.972	2.319	45.242	unknown	SEEG
M14	45.043	2.411	48.809	unknown	SEEG
N1	34.502	17.899	-9.340	unknown	SEEG
N2	34.170	16.472	-5.255	unknown	SEEG
N3	34.350	14.215	-1.564	unknown	SEEG
N4	34.233	12.239	2.484	unknown	SEEG
N5	34.294	10.440	6.125	unknown	SEEG
N6	34.531	8.556	10.311	unknown	SEEG
N7	34.859	6.623	14.479	unknown	SEEG
N8	35.112	4.763	18.453	unknown	SEEG
N9	35.351	2.642	22.544	unknown	SEEG
N10	35.728	0.384	26.410	unknown	SEEG
N11	35.987	-1.851	30.300	unknown	SEEG
N12	36.341	-3.915	34.055	unknown	SEEG
N13	36.799	-5.816	38.264	unknown	SEEG
N14	37.196	-7.569	42.261	unknown	SEEG
N15	37.700	-9.128	46.350	unknown	SEEG
N16	37.931	-10.854	49.319	unknown	SEEG
O1	0.734	18.517	55.546	unknown	SEEG
O2	4.147	18.373	55.445	unknown	SEEG
O3	7.202	19.023	54.770	unknown	SEEG
O4	10.650	19.121	54.541	unknown	SEEG
O5	14.319	19.231	54.327	unknown	SEEG
O6	17.677	19.398	54.092	unknown	SEEG
O7	21.063	19.506	53.872	unknown	SEEG
O8	24.663	19.785	53.659	unknown	SEEG
O9	28.190	20.030	53.366	unknown	SEEG
O10	31.734	20.311	53.193	unknown	SEEG
O11	34.955	20.529	52.826	unknown	SEEG
O12	38.309	20.724	52.232	unknown	SEEG
O13	42.073	20.855	51.920	unknown	SEEG
O14	45.492	20.587	51.894	unknown	SEEG
P1	0.028	20.744	48.062	unknown	SEEG
P2	3.134	20.970	47.118	unknown	SEEG
P3	6.635	21.042	46.359	unknown	SEEG
P4	10.085	21.247	45.502	unknown	SEEG
P5	13.225	21.304	44.459	unknown	SEEG
P6	16.633	21.415	43.340	unknown	SEEG
P7	20.217	21.404	42.524	unknown	SEEG
P8	23.536	21.385	42.093	unknown	SEEG
P9	26.988	21.337	41.319	unknown	SEEG
P10	30.440	21.355	40.846	unknown	SEEG
P11	33.877	21.532	40.300	unknown	SEEG
P12	37.256	21.718	39.733	unknown	SEEG
P13	40.870	21.864	39.197	unknown	SEEG
P14	44.179	22.084	38.585	unknown	SEEG
P15	47.562	22.193	37.837	unknown	SEEG
P16	51.026	22.644	37.515	unknown	SEEG
