name	x	y	z	size	type
A1	-0.837	38.036	15.048	unknown	SEEG
A2	2.232	38.036	15.624	unknown	SEEG
A3	5.684	38.429	16.009	unknown	SEEG
A4	8.945	38.717	16.681	unknown	SEEG
A5	12.494	39.005	17.066	unknown	SEEG
A6	16.042	38.899	18.026	unknown	SEEG
A7	19.567	39.378	18.410	unknown	SEEG
A8	22.903	39.486	18.687	unknown	SEEG
A9	26.377	40.158	18.687	unknown	SEEG
A10	30.021	40.242	18.987	unknown	SEEG
A11	33.545	40.625	19.371	unknown	SEEG
A12	36.806	41.113	19.371	unknown	SEEG
A13	40.354	41.401	20.320	unknown	SEEG
A14	43.901	42.102	20.104	unknown	SEEG
B1	-3.793	-9.446	29.673	unknown	SEEG
B2	-0.436	-9.254	30.154	unknown	SEEG
B3	2.633	-9.254	30.730	unknown	SEEG
B4	5.990	-9.254	31.210	unknown	SEEG
B5	8.579	-9.350	31.210	unknown	SEEG
B6	12.032	-9.350	31.979	unknown	SEEG
B7	15.964	-9.542	32.630	unknown	SEEG
B8	19.271	-9.542	33.207	unknown	SEEG
B9	22.532	-9.826	33.687	unknown	SEEG
B10	26.756	-9.346	34.264	unknown	SEEG
B11	30.492	-9.346	34.936	unknown	SEEG
B12	34.141	-10.018	35.608	unknown	SEEG
B13	37.882	-9.730	36.185	unknown	SEEG
B14	40.020	-10.841	35.910	unknown	SEEG
C1	-3.485	12.246	32.500	unknown	SEEG
C2	-0.991	11.909	33.017	unknown	SEEG
C3	2.941	11.382	33.017	unknown	SEEG
C4	6.585	10.997	33.017	unknown	SEEG
C5	9.750	10.229	33.017	unknown	SEEG
C6	13.265	9.703	33.978	unknown	SEEG
C7	16.622	9.078	33.978	unknown	SEEG
C8	19.883	8.502	33.978	unknown	SEEG
C9	23.623	7.829	34.789	unknown	SEEG
C10	27.076	7.445	34.789	unknown	SEEG
C11	30.423	6.484	35.077	unknown	SEEG
C12	33.789	6.004	35.077	unknown	SEEG
C13	37.233	5.235	35.366	unknown	SEEG
C14	40.694	4.947	35.366	unknown	SEEG
C15	44.849	4.818	36.500	unknown	SEEG
D1	-6.293	-32.960	34.904	unknown	SEEG
D2	-3.454	-32.960	34.817	unknown	SEEG
D3	0.048	-33.357	34.817	unknown	SEEG
D4	3.615	-33.833	35.618	unknown	SEEG
D5	6.865	-34.230	35.618	unknown	SEEG
D6	10.431	-34.626	36.015	unknown	SEEG
D7	14.236	-35.024	36.015	unknown	SEEG
D8	17.882	-35.262	36.015	unknown	SEEG
D9	20.867	-35.659	36.640	unknown	SEEG
D10	24.513	-36.372	36.561	unknown	SEEG
D11	28.000	-36.531	36.640	unknown	SEEG
D12	31.612	-36.939	37.500	unknown	SEEG
E1	5.854	19.674	35.910	unknown	SEEG
E2	9.183	20.547	35.910	unknown	SEEG
E3	13.256	21.183	36.632	unknown	SEEG
E4	16.960	21.971	37.026	unknown	SEEG
E5	20.905	22.683	37.026	unknown	SEEG
E6	24.755	23.076	37.551	unknown	SEEG
E7	28.620	23.661	38.076	unknown	SEEG
E8	32.681	24.317	38.076	unknown	SEEG
E9	36.677	24.580	38.469	unknown	SEEG
E10	40.637	25.295	38.500	unknown	SEEG
F1	-0.914	12.247	48.500	unknown	SEEG
F2	2.165	11.919	48.500	unknown	SEEG
F3	5.572	11.591	48.500	unknown	SEEG
F4	9.284	11.136	48.500	unknown	SEEG
F5	12.581	10.545	48.959	unknown	SEEG
F6	15.970	9.954	49.014	unknown	SEEG
F7	19.519	9.409	49.014	unknown	SEEG
F8	22.984	8.541	49.014	unknown	SEEG
F9	26.419	7.999	49.393	unknown	SEEG
F10	29.750	7.356	49.875	unknown	SEEG
F11	33.540	6.326	49.983	unknown	SEEG
F12	36.810	5.978	50.500	unknown	SEEG
G1	-2.334	47.890	48.131	unknown	SEEG
G2	0.914	47.239	48.131	unknown	SEEG
G3	4.216	46.645	48.836	unknown	SEEG
G4	7.844	45.938	49.216	unknown	SEEG
G5	11.611	45.513	49.216	unknown	SEEG
G6	14.914	45.134	49.216	unknown	SEEG
G7	18.270	44.320	50.029	unknown	SEEG
G8	22.168	43.670	50.029	unknown	SEEG
G9	25.525	42.965	50.029	unknown	SEEG
G10	28.832	42.585	51.082	unknown	SEEG
H1	-6.089	-30.559	51.962	unknown	SEEG
H2	-2.571	-31.156	51.962	unknown	SEEG
H3	0.824	-31.747	51.962	unknown	SEEG
H4	4.397	-32.127	51.962	unknown	SEEG
H5	7.807	-32.235	51.962	unknown	SEEG
H6	11.272	-32.452	51.962	unknown	SEEG
H7	14.663	-32.662	51.962	unknown	SEEG
H8	17.832	-32.421	52.500	unknown	SEEG
I1	-3.571	-6.727	54.500	unknown	SEEG
I2	-0.593	-7.703	54.500	unknown	SEEG
I3	2.926	-8.245	54.500	unknown	SEEG
I4	6.499	-8.787	54.500	unknown	SEEG
I5	9.993	-9.368	54.500	unknown	SEEG
I6	13.620	-9.965	54.500	unknown	SEEG
I7	16.977	-10.615	54.500	unknown	SEEG
I8	20.658	-11.626	54.165	unknown	SEEG
J1	1.297	24.158	57.858	unknown	SEEG
J2	4.491	23.942	57.858	unknown	SEEG
J3	8.369	24.217	57.858	unknown	SEEG
J4	11.563	24.055	57.858	unknown	SEEG
J5	15.190	23.892	57.858	unknown	SEEG
J6	18.439	23.675	57.858	unknown	SEEG
J7	21.849	23.458	57.858	unknown	SEEG
J8	25.430	24.467	58.500	unknown	SEEG
