name	x	y	z	size	type
A1	-6.774	27.542	42.345	unknown	SEEG
A2	-9.995	27.075	43.488	unknown	SEEG
A3	-13.150	26.423	45.612	unknown	SEEG
A4	-15.810	26.204	47.785	unknown	SEEG
A5	-18.999	26.195	49.013	unknown	SEEG
A6	-21.659	25.976	51.186	unknown	SEEG
A7	-24.817	26.425	52.498	unknown	SEEG
A8	-27.941	26.231	54.706	unknown	SEEG
A9	-31.595	26.247	55.969	unknown	SEEG
A10	-34.784	26.238	57.197	unknown	SEEG
A11	-37.973	26.229	58.425	unknown	SEEG
A12	-40.697	26.195	59.617	unknown	SEEG
A13	-43.886	26.186	60.845	unknown	SEEG
A14	-47.540	26.202	62.108	unknown	SEEG
A15	-50.729	26.193	63.336	unknown	SEEG
A16	-53.918	26.184	64.564	unknown	SEEG
B1	-3.316	46.518	62.013	unknown	SEEG
B2	-6.570	46.694	62.261	unknown	SEEG
B3	-9.759	46.685	63.488	unknown	SEEG
B4	-13.412	46.701	64.751	unknown	SEEG
B5	-16.666	46.877	64.998	unknown	SEEG
B6	-19.855	46.868	66.226	unknown	SEEG
B7	-23.542	47.527	66.593	unknown	SEEG
B8	-27.196	47.544	67.856	unknown	SEEG
B9	-30.449	47.720	68.103	unknown	SEEG
B10	-33.638	47.711	69.331	unknown	SEEG
B11	-37.325	48.370	69.698	unknown	SEEG
B12	-40.514	48.361	70.925	unknown	SEEG
C1	-7.611	46.061	42.834	unknown	SEEG
C2	-10.800	46.052	44.062	unknown	SEEG
C3	-14.022	46.687	44.393	unknown	SEEG
C4	-17.211	46.678	45.621	unknown	SEEG
C5	-20.464	46.853	45.868	unknown	SEEG
C6	-23.622	47.303	47.180	unknown	SEEG
C7	-27.276	47.319	48.443	unknown	SEEG
C8	-30.498	47.953	48.775	unknown	SEEG
C9	-34.152	47.969	50.038	unknown	SEEG
C10	-37.405	48.145	50.285	unknown	SEEG
C11	-40.563	48.594	51.597	unknown	SEEG
C12	-43.817	48.770	51.844	unknown	SEEG
C13	-47.439	49.244	53.192	unknown	SEEG
C14	-50.693	49.420	53.439	unknown	SEEG
C15	-54.346	49.436	54.702	unknown	SEEG
C16	-57.600	49.612	54.949	unknown	SEEG
D1	-4.801	34.779	38.481	unknown	SEEG
D2	-7.990	34.770	39.709	unknown	SEEG
D3	-11.644	34.786	40.972	unknown	SEEG
D4	-15.762	34.827	42.270	unknown	SEEG
D5	-19.481	35.029	42.553	unknown	SEEG
D6	-23.695	34.797	42.786	unknown	SEEG
D7	-27.413	34.998	43.069	unknown	SEEG
D8	-31.163	34.741	43.267	unknown	SEEG
D9	-35.408	34.051	43.416	unknown	SEEG
D10	-39.591	34.278	43.734	unknown	SEEG
D11	-43.340	34.021	43.932	unknown	SEEG
D12	-47.554	33.789	44.165	unknown	SEEG
D13	-51.304	33.532	44.363	unknown	SEEG
D14	-55.487	33.758	44.681	unknown	SEEG
D15	-59.236	33.501	44.879	unknown	SEEG
D16	-63.451	33.270	45.112	unknown	SEEG
E1	-1.041	12.556	54.437	unknown	SEEG
E2	-4.630	12.387	56.681	unknown	SEEG
E3	-7.819	12.378	57.908	unknown	SEEG
E4	-10.977	12.827	59.220	unknown	SEEG
E5	-14.101	12.633	61.429	unknown	SEEG
E6	-17.290	12.624	62.657	unknown	SEEG
E7	-19.950	12.405	64.830	unknown	SEEG
E8	-23.139	12.396	66.057	unknown	SEEG
E9	-26.295	11.744	68.181	unknown	SEEG
E10	-29.453	12.193	69.493	unknown	SEEG
E11	-32.608	11.541	71.618	unknown	SEEG
E12	-35.797	11.532	72.845	unknown	SEEG
F1	-8.232	18.704	41.793	unknown	SEEG
F2	-11.919	19.363	42.160	unknown	SEEG
F3	-14.675	18.871	43.268	unknown	SEEG
F4	-18.359	18.429	44.447	unknown	SEEG
F5	-21.613	18.605	44.694	unknown	SEEG
F6	-25.298	18.163	45.872	unknown	SEEG
F7	-28.551	18.340	46.120	unknown	SEEG
F8	-31.740	18.331	47.347	unknown	SEEG
F9	-35.459	18.532	47.630	unknown	SEEG
F10	-38.648	18.523	48.857	unknown	SEEG
F11	-41.901	18.699	49.105	unknown	SEEG
F12	-45.619	18.900	49.387	unknown	SEEG
F13	-48.839	18.433	50.530	unknown	SEEG
F14	-52.093	18.609	50.778	unknown	SEEG
F15	-55.747	18.625	52.041	unknown	SEEG
F16	-59.465	18.826	52.323	unknown	SEEG
G1	-3.126	56.042	51.560	unknown	SEEG
G2	-4.794	56.688	53.831	unknown	SEEG
G3	-6.428	56.692	56.999	unknown	SEEG
G4	-8.063	56.696	60.166	unknown	SEEG
G5	-9.666	57.157	63.418	unknown	SEEG
G6	-11.301	57.161	66.586	unknown	SEEG
G7	-13.464	57.375	68.808	unknown	SEEG
G8	-14.603	57.811	72.024	unknown	SEEG
H1	-5.203	60.812	39.340	unknown	SEEG
H2	-8.456	60.988	39.587	unknown	SEEG
H3	-11.583	61.895	40.984	unknown	SEEG
H4	-14.805	62.529	41.315	unknown	SEEG
H5	-17.994	62.520	42.543	unknown	SEEG
H6	-21.152	62.969	43.855	unknown	SEEG
H7	-24.839	63.629	44.222	unknown	SEEG
H8	-27.997	64.078	45.534	unknown	SEEG
H9	-31.619	64.552	46.881	unknown	SEEG
H10	-34.873	64.728	47.128	unknown	SEEG
H11	-38.031	65.177	48.441	unknown	SEEG
H12	-41.188	65.626	49.753	unknown	SEEG
H13	-44.875	66.285	50.119	unknown	SEEG
H14	-48.033	66.734	51.431	unknown	SEEG
I1	7.091	59.772	35.276	unknown	SEEG
I2	10.440	59.869	36.094	unknown	SEEG
I3	13.789	59.966	36.912	unknown	SEEG
I4	16.673	60.089	37.765	unknown	SEEG
I5	20.487	60.160	38.548	unknown	SEEG
I6	23.836	60.258	39.365	unknown	SEEG
