name	x	y	z	size	type
A1	41.360	27.092	4.412	unknown	SEEG
A2	40.660	27.217	8.515	unknown	SEEG
A3	40.171	27.508	11.907	unknown	SEEG
A4	39.372	27.653	16.929	unknown	SEEG
A5	38.997	27.920	20.948	unknown	SEEG
A6	38.490	28.285	25.276	unknown	SEEG
A7	38.224	28.626	29.695	unknown	SEEG
A8	37.834	29.016	34.267	unknown	SEEG
A9	37.241	29.270	38.631	unknown	SEEG
A10	36.987	29.726	43.108	unknown	SEEG
A11	36.312	29.947	47.458	unknown	SEEG
A12	35.895	30.501	51.746	unknown	SEEG
A13	35.549	30.584	56.462	unknown	SEEG
A14	35.084	30.846	60.304	unknown	SEEG
A15	35.062	31.083	64.779	unknown	SEEG
A16	34.580	31.276	69.547	unknown	SEEG
B1	-0.160	-0.043	20.600	unknown	SEEG
B2	2.125	-2.431	22.641	unknown	SEEG
B3	3.958	-4.804	24.389	unknown	SEEG
B4	5.953	-7.060	26.060	unknown	SEEG
B5	7.609	-9.513	27.861	unknown	SEEG
B6	9.442	-11.879	29.610	unknown	SEEG
B7	11.287	-14.074	31.215	unknown	SEEG
B8	13.044	-16.519	33.414	unknown	SEEG
B9	15.106	-19.217	35.358	unknown	SEEG
B10	16.798	-21.425	37.209	unknown	SEEG
B11	18.311	-23.810	38.971	unknown	SEEG
B12	20.135	-26.312	40.788	unknown	SEEG
B13	21.554	-28.825	42.502	unknown	SEEG
B14	23.302	-31.307	44.159	unknown	SEEG
C1	5.313	-1.652	33.802	unknown	SEEG
C2	6.944	-3.279	36.581	unknown	SEEG
C3	8.472	-5.081	39.349	unknown	SEEG
C4	9.968	-6.601	42.135	unknown	SEEG
C5	11.445	-8.377	44.918	unknown	SEEG
C6	12.928	-9.864	47.434	unknown	SEEG
C7	14.410	-11.466	50.097	unknown	SEEG
C8	15.925	-13.139	52.833	unknown	SEEG
C9	17.429	-14.669	55.407	unknown	SEEG
C10	18.841	-16.179	57.865	unknown	SEEG
C11	20.503	-18.098	60.628	unknown	SEEG
C12	21.757	-19.749	63.425	unknown	SEEG
D1	7.222	12.659	51.132	unknown	SEEG
D2	9.513	12.843	52.831	unknown	SEEG
D3	11.939	12.872	54.925	unknown	SEEG
D4	15.389	13.024	58.102	unknown	SEEG
D5	17.942	13.083	59.642	unknown	SEEG
D6	20.547	13.220	61.956	unknown	SEEG
D7	23.216	13.208	64.199	unknown	SEEG
D8	25.979	13.265	66.289	unknown	SEEG
D9	28.578	13.220	68.196	unknown	SEEG
D10	31.602	13.347	70.740	unknown	SEEG
D11	34.389	13.408	73.135	unknown	SEEG
D12	36.944	13.422	74.775	unknown	SEEG
E1	4.086	-3.652	50.778	unknown	SEEG
E2	7.205	-3.442	52.449	unknown	SEEG
E3	10.402	-3.190	53.933	unknown	SEEG
E4	13.444	-3.120	54.876	unknown	SEEG
E5	16.648	-3.057	56.700	unknown	SEEG
E6	19.792	-2.834	58.121	unknown	SEEG
E7	22.734	-2.620	59.337	unknown	SEEG
E8	25.944	-2.431	60.640	unknown	SEEG
E9	29.304	-2.198	62.209	unknown	SEEG
E10	32.392	-2.030	63.731	unknown	SEEG
E11	35.577	-1.974	65.237	unknown	SEEG
E12	38.834	-1.867	67.211	unknown	SEEG
F1	9.402	31.360	55.782	unknown	SEEG
F2	10.529	31.424	59.315	unknown	SEEG
F3	11.577	31.686	62.738	unknown	SEEG
F4	12.509	31.805	65.816	unknown	SEEG
F5	13.510	32.281	69.159	unknown	SEEG
F6	14.572	32.370	72.232	unknown	SEEG
F7	15.432	32.553	74.684	unknown	SEEG
F8	16.258	33.077	78.713	unknown	SEEG
G1	6.312	-13.005	55.820	unknown	SEEG
G2	8.229	-12.852	57.573	unknown	SEEG
G3	10.553	-12.779	60.216	unknown	SEEG
G4	13.390	-12.291	63.246	unknown	SEEG
G5	15.363	-12.210	65.474	unknown	SEEG
G6	17.903	-12.076	68.369	unknown	SEEG
G7	20.003	-11.927	70.726	unknown	SEEG
G8	22.455	-11.747	73.188	unknown	SEEG
G9	25.265	-11.502	76.079	unknown	SEEG
G10	27.352	-11.339	77.803	unknown	SEEG
H1	5.801	-10.783	57.823	unknown	SEEG
H2	8.423	-10.020	59.595	unknown	SEEG
H3	11.603	-9.324	61.529	unknown	SEEG
H4	14.165	-8.684	63.162	unknown	SEEG
H5	17.105	-8.141	64.808	unknown	SEEG
H6	20.158	-7.573	66.933	unknown	SEEG
H7	23.114	-7.144	68.789	unknown	SEEG
H8	25.995	-6.775	70.511	unknown	SEEG
H9	29.079	-6.373	72.598	unknown	SEEG
H10	32.068	-5.811	74.240	unknown	SEEG
I1	7.134	6.541	63.538	unknown	SEEG
I2	8.510	6.253	65.551	unknown	SEEG
I3	9.493	5.945	67.037	unknown	SEEG
I4	11.032	5.203	69.580	unknown	SEEG
I5	12.868	4.854	72.230	unknown	SEEG
I6	14.833	4.312	75.093	unknown	SEEG
I7	16.913	3.567	77.930	unknown	SEEG
I8	19.008	3.016	80.785	unknown	SEEG
I9	20.983	2.306	83.632	unknown	SEEG
