name	x	y	z	size	type
A1	-45.999	-11.150	12.793	unknown	SEEG
A2	-44.937	-6.926	14.924	unknown	SEEG
A3	-44.194	-3.189	17.015	unknown	SEEG
A4	-43.601	0.438	18.785	unknown	SEEG
A5	-42.718	4.159	20.774	unknown	SEEG
A6	-41.945	8.136	22.874	unknown	SEEG
A7	-41.062	11.839	24.863	unknown	SEEG
A8	-40.178	16.159	26.963	unknown	SEEG
A9	-39.217	19.553	28.500	unknown	SEEG
A10	-38.348	23.391	30.500	unknown	SEEG
A11	-37.467	27.082	32.413	unknown	SEEG
A12	-36.586	31.111	34.500	unknown	SEEG
A13	-35.594	35.081	36.500	unknown	SEEG
A14	-35.043	38.830	38.500	unknown	SEEG
A15	-34.272	42.800	40.500	unknown	SEEG
A16	-33.525	46.560	42.160	unknown	SEEG
B1	-29.738	16.947	53.988	unknown	SEEG
B2	-33.452	16.628	54.106	unknown	SEEG
B3	-36.949	16.203	54.530	unknown	SEEG
B4	-40.551	16.203	54.742	unknown	SEEG
B5	-43.836	15.459	55.061	unknown	SEEG
B6	-47.226	15.459	55.061	unknown	SEEG
B7	-50.829	15.034	55.061	unknown	SEEG
B8	-54.241	15.164	55.500	unknown	SEEG
C1	-36.338	48.167	42.431	unknown	SEEG
C2	-39.068	48.740	42.863	unknown	SEEG
C3	-42.470	48.740	43.500	unknown	SEEG
C4	-45.572	48.737	43.847	unknown	SEEG
D1	-31.106	58.202	24.312	unknown	SEEG
D2	-33.346	59.052	25.045	unknown	SEEG
D3	-36.629	59.791	25.107	unknown	SEEG
D4	-40.346	60.434	25.500	unknown	SEEG
D5	-43.624	60.859	25.999	unknown	SEEG
D6	-47.355	61.497	26.500	unknown	SEEG
D7	-50.754	62.135	26.500	unknown	SEEG
D8	-54.168	62.192	26.500	unknown	SEEG
E1	-32.053	46.081	20.865	unknown	SEEG
E2	-35.213	46.305	21.500	unknown	SEEG
E3	-39.037	46.480	22.075	unknown	SEEG
E4	-42.541	46.624	22.500	unknown	SEEG
E5	-45.940	46.798	22.923	unknown	SEEG
E6	-49.539	46.868	23.622	unknown	SEEG
F1	-33.335	31.325	43.006	unknown	SEEG
F2	-36.207	31.422	43.500	unknown	SEEG
F3	-39.703	31.422	43.924	unknown	SEEG
F4	-43.285	31.422	44.500	unknown	SEEG
F5	-46.789	31.634	44.500	unknown	SEEG
F6	-50.299	31.847	44.560	unknown	SEEG
F7	-53.887	32.005	44.984	unknown	SEEG
G1	-41.042	32.508	28.763	unknown	SEEG
G2	-44.503	31.959	29.500	unknown	SEEG
G3	-48.074	31.798	30.030	unknown	SEEG
G4	-51.391	31.477	30.500	unknown	SEEG
G5	-54.749	30.996	31.090	unknown	SEEG
G6	-58.234	30.735	31.698	unknown	SEEG
H1	-45.192	27.841	13.333	unknown	SEEG
H2	-48.849	27.597	13.866	unknown	SEEG
H3	-52.181	27.597	14.500	unknown	SEEG
H4	-55.612	27.336	15.038	unknown	SEEG
H5	-59.351	27.336	15.500	unknown	SEEG
H6	-62.753	27.246	16.102	unknown	SEEG
I1	-41.240	10.242	39.840	unknown	SEEG
I2	-44.358	9.077	39.776	unknown	SEEG
I3	-47.748	7.523	39.646	unknown	SEEG
I4	-50.746	6.098	39.387	unknown	SEEG
I5	-54.136	4.674	39.516	unknown	SEEG
I6	-57.265	3.120	39.516	unknown	SEEG
I7	-60.394	1.436	39.516	unknown	SEEG
I8	-63.718	-0.154	39.773	unknown	SEEG
J1	-49.935	4.492	3.244	unknown	SEEG
J2	-53.027	5.021	3.049	unknown	SEEG
J3	-56.352	5.698	3.046	unknown	SEEG
J4	-59.955	6.142	2.942	unknown	SEEG
