name	x	y	z	size	type
A1	30.113	12.853	13.583	unknown	SEEG
A2	33.414	12.853	13.970	unknown	SEEG
A3	37.121	12.853	14.070	unknown	SEEG
A4	40.629	12.505	13.970	unknown	SEEG
A5	43.935	12.505	14.070	unknown	SEEG
A6	47.467	12.146	14.500	unknown	SEEG
A7	50.979	12.002	14.500	unknown	SEEG
A8	54.386	11.838	14.764	unknown	SEEG
B1	24.045	3.213	13.920	unknown	SEEG
B2	25.107	6.905	14.955	unknown	SEEG
B3	25.107	11.195	15.814	unknown	SEEG
B4	25.833	15.496	16.500	unknown	SEEG
B5	26.195	19.561	17.174	unknown	SEEG
B6	26.195	24.209	17.961	unknown	SEEG
B7	26.558	28.392	18.500	unknown	SEEG
B8	26.558	32.932	19.500	unknown	SEEG
B9	27.101	37.132	19.957	unknown	SEEG
B10	27.011	41.785	20.500	unknown	SEEG
B11	27.101	45.784	21.031	unknown	SEEG
B12	27.570	50.503	21.961	unknown	SEEG
B13	27.570	54.909	22.500	unknown	SEEG
B14	27.830	59.656	22.963	unknown	SEEG
B15	28.140	63.946	23.500	unknown	SEEG
B16	28.400	68.255	23.950	unknown	SEEG
C1	18.549	4.111	16.500	unknown	SEEG
C2	18.390	2.056	20.500	unknown	SEEG
C3	17.722	0.318	24.500	unknown	SEEG
C4	16.921	-1.419	27.500	unknown	SEEG
C5	16.254	-3.290	31.500	unknown	SEEG
C6	15.453	-5.562	35.500	unknown	SEEG
C7	14.384	-7.701	39.500	unknown	SEEG
C8	13.183	-10.107	43.500	unknown	SEEG
C9	12.515	-11.844	46.500	unknown	SEEG
C10	11.581	-14.250	50.500	unknown	SEEG
C11	10.379	-16.789	54.500	unknown	SEEG
C12	9.578	-19.462	58.500	unknown	SEEG
C13	8.643	-22.001	62.500	unknown	SEEG
C14	7.709	-24.006	65.500	unknown	SEEG
C15	6.599	-26.654	69.619	unknown	SEEG
D1	25.907	-1.921	16.500	unknown	SEEG
D2	25.545	-3.102	19.500	unknown	SEEG
D3	25.228	-4.609	23.500	unknown	SEEG
D4	24.911	-5.720	26.500	unknown	SEEG
D5	24.515	-7.069	29.500	unknown	SEEG
D6	24.198	-8.100	32.500	unknown	SEEG
D7	23.960	-9.528	35.500	unknown	SEEG
D8	23.484	-10.956	38.500	unknown	SEEG
D9	23.326	-12.622	42.500	unknown	SEEG
D10	23.130	-14.229	46.500	unknown	SEEG
D11	23.130	-15.636	49.500	unknown	SEEG
D12	22.815	-16.892	52.500	unknown	SEEG
D13	22.587	-18.262	54.500	unknown	SEEG
D14	22.587	-19.632	57.500	unknown	SEEG
D15	22.395	-20.932	60.500	unknown	SEEG
D16	21.966	-22.595	64.500	unknown	SEEG
E1	23.101	-1.383	23.810	unknown	SEEG
E2	22.930	2.078	25.884	unknown	SEEG
E3	23.203	5.542	26.594	unknown	SEEG
E4	23.203	8.849	27.776	unknown	SEEG
E5	23.203	12.196	28.500	unknown	SEEG
E6	23.066	15.494	29.375	unknown	SEEG
E7	23.340	18.987	30.057	unknown	SEEG
E8	23.614	22.402	31.014	unknown	SEEG
E9	26.295	51.085	34.994	unknown	SEEG
E10	26.589	54.593	35.500	unknown	SEEG
E11	26.589	57.914	36.072	unknown	SEEG
E12	26.863	61.193	37.029	unknown	SEEG
E13	27.137	64.880	37.850	unknown	SEEG
E14	27.684	67.885	38.500	unknown	SEEG
F1	25.531	12.470	29.500	unknown	SEEG
F2	28.405	12.451	30.882	unknown	SEEG
F3	31.691	12.882	32.500	unknown	SEEG
F4	34.703	13.131	33.741	unknown	SEEG
F5	38.125	13.539	35.102	unknown	SEEG
F6	41.274	13.811	36.736	unknown	SEEG
F7	44.697	14.526	38.500	unknown	SEEG
F8	47.461	14.842	39.500	unknown	SEEG
G1	28.168	-2.065	26.961	unknown	SEEG
G2	31.007	-3.055	28.500	unknown	SEEG
G3	34.747	-4.111	29.929	unknown	SEEG
G4	37.467	-4.933	30.882	unknown	SEEG
G5	40.453	-5.772	32.107	unknown	SEEG
G6	43.858	-7.126	33.468	unknown	SEEG
G7	46.561	-8.205	34.812	unknown	SEEG
