name	x	y	z	size	type
A1	-40.865	-14.968	4.830	unknown	SEEG
A2	-40.433	-16.355	7.600	unknown	SEEG
A3	-39.754	-18.260	11.600	unknown	SEEG
A4	-39.210	-20.301	16.000	unknown	SEEG
A5	-38.802	-21.525	18.400	unknown	SEEG
A6	-38.259	-23.566	22.000	unknown	SEEG
A7	-37.579	-25.471	25.600	unknown	SEEG
A8	-37.171	-27.239	29.200	unknown	SEEG
A9	-36.492	-29.552	33.200	unknown	SEEG
A10	-35.676	-31.320	36.000	unknown	SEEG
A11	-35.269	-32.953	39.200	unknown	SEEG
A12	-34.997	-35.402	43.200	unknown	SEEG
A13	-34.589	-37.035	46.400	unknown	SEEG
A14	-34.045	-38.803	49.600	unknown	SEEG
A15	-33.502	-40.844	53.337	unknown	SEEG
B1	-43.446	-3.746	4.986	unknown	SEEG
B2	-42.951	-5.182	7.600	unknown	SEEG
B3	-42.407	-7.223	11.600	unknown	SEEG
B4	-42.136	-8.855	15.200	unknown	SEEG
B5	-41.592	-10.896	19.200	unknown	SEEG
B6	-41.048	-12.392	22.400	unknown	SEEG
B7	-40.641	-14.025	26.000	unknown	SEEG
B8	-40.233	-15.521	29.200	unknown	SEEG
B9	-39.689	-17.426	32.800	unknown	SEEG
B10	-39.282	-19.195	36.400	unknown	SEEG
B11	-39.010	-20.691	39.600	unknown	SEEG
B12	-38.466	-22.596	43.600	unknown	SEEG
B13	-38.330	-24.501	47.200	unknown	SEEG
B14	-37.786	-26.133	50.800	unknown	SEEG
B15	-37.379	-27.766	54.400	unknown	SEEG
B16	-36.984	-29.457	57.877	unknown	SEEG
C1	-35.829	-12.219	37.464	unknown	SEEG
C2	-37.102	-13.623	39.600	unknown	SEEG
C3	-38.858	-15.030	42.800	unknown	SEEG
C4	-40.264	-16.554	45.600	unknown	SEEG
C5	-41.786	-18.195	48.400	unknown	SEEG
C6	-43.191	-19.484	51.200	unknown	SEEG
C7	-44.713	-20.965	54.102	unknown	SEEG
D1	-9.385	-4.675	37.383	unknown	SEEG
D2	-11.925	-5.184	39.200	unknown	SEEG
D3	-15.087	-5.653	41.600	unknown	SEEG
D4	-17.780	-6.004	43.600	unknown	SEEG
D5	-20.708	-6.473	45.600	unknown	SEEG
D6	-23.518	-6.825	47.600	unknown	SEEG
D7	-26.212	-7.176	49.600	unknown	SEEG
D8	-28.905	-7.645	51.600	unknown	SEEG
D9	-31.832	-8.231	53.600	unknown	SEEG
D10	-34.760	-8.583	55.600	unknown	SEEG
D11	-37.570	-9.169	57.600	unknown	SEEG
D12	-40.305	-9.742	59.611	unknown	SEEG
E1	-11.691	-8.583	54.797	unknown	SEEG
E2	-13.448	-8.349	56.800	unknown	SEEG
E3	-16.258	-8.114	59.600	unknown	SEEG
E4	-18.834	-7.763	62.400	unknown	SEEG
E5	-21.176	-7.763	64.800	unknown	SEEG
E6	-23.156	-7.358	66.941	unknown	SEEG
F1	-31.772	16.810	18.589	unknown	SEEG
F2	-34.324	15.267	19.600	unknown	SEEG
F3	-37.252	13.860	20.800	unknown	SEEG
F4	-40.413	12.219	22.000	unknown	SEEG
F5	-43.341	10.930	22.800	unknown	SEEG
F6	-46.268	9.406	24.000	unknown	SEEG
F7	-49.196	7.999	24.800	unknown	SEEG
F8	-52.240	6.476	26.000	unknown	SEEG
F9	-55.519	4.952	27.200	unknown	SEEG
F10	-58.447	3.662	28.000	unknown	SEEG
F11	-61.491	2.373	28.938	unknown	SEEG
G1	-37.879	10.209	10.516	unknown	SEEG
