name	x	y	z	size	type
A1	18.080	11.702	-10.933	unknown	SEEG
A2	21.466	11.846	-11.674	unknown	SEEG
A3	25.096	12.369	-12.285	unknown	SEEG
A4	28.246	12.898	-12.474	unknown	SEEG
A5	31.707	13.510	-13.173	unknown	SEEG
A6	35.140	13.768	-13.348	unknown	SEEG
A7	38.496	14.468	-14.222	unknown	SEEG
A8	41.999	15.254	-14.549	unknown	SEEG
A9	45.838	15.866	-15.248	unknown	SEEG
A10	48.793	16.216	-15.598	unknown	SEEG
A11	52.557	16.915	-16.559	unknown	SEEG
A12	55.524	17.614	-16.646	unknown	SEEG
A13	59.439	18.051	-17.433	unknown	SEEG
A14	62.586	18.328	-18.465	unknown	SEEG
B1	9.682	-0.720	-6.314	unknown	SEEG
B2	11.951	-1.069	-8.062	unknown	SEEG
B3	15.965	-2.168	-9.635	unknown	SEEG
B4	18.932	-3.035	-11.121	unknown	SEEG
B5	22.216	-3.902	-12.927	unknown	SEEG
B6	24.747	-4.559	-14.034	unknown	SEEG
B7	28.237	-5.203	-15.724	unknown	SEEG
B8	31.204	-6.070	-17.035	unknown	SEEG
B9	34.330	-6.938	-18.675	unknown	SEEG
B10	37.297	-7.700	-20.152	unknown	SEEG
B11	40.090	-8.238	-21.385	unknown	SEEG
B12	43.896	-9.354	-23.000	unknown	SEEG
C1	-16.092	0.369	0.000	unknown	SEEG
C2	-18.884	-0.505	0.437	unknown	SEEG
C3	-22.184	-1.271	1.049	unknown	SEEG
C4	-25.603	-2.145	1.573	unknown	SEEG
C5	-28.903	-2.757	1.573	unknown	SEEG
C6	-32.584	-3.719	2.447	unknown	SEEG
C7	-35.622	-4.330	2.447	unknown	SEEG
C8	-39.129	-5.104	2.885	unknown	SEEG
C9	-42.584	-6.153	3.489	unknown	SEEG
C10	-46.075	-6.765	3.576	unknown	SEEG
C11	-49.478	-7.639	4.013	unknown	SEEG
C12	-52.706	-8.559	4.457	unknown	SEEG
C13	-56.068	-9.036	5.000	unknown	SEEG
D1	-8.129	-31.947	0.000	unknown	SEEG
D2	-10.486	-32.122	2.360	unknown	SEEG
D3	-13.103	-32.209	4.370	unknown	SEEG
D4	-15.808	-32.383	6.119	unknown	SEEG
D5	-18.768	-32.383	8.197	unknown	SEEG
D6	-21.822	-32.383	9.770	unknown	SEEG
D7	-24.709	-32.909	11.518	unknown	SEEG
D8	-27.913	-32.909	12.893	unknown	SEEG
D9	-30.730	-33.171	14.466	unknown	SEEG
D10	-34.021	-33.525	16.221	unknown	SEEG
D11	-37.075	-33.873	18.319	unknown	SEEG
D12	-40.384	-33.873	19.792	unknown	SEEG
D13	-43.438	-33.873	21.540	unknown	SEEG
D14	-46.383	-34.213	23.000	unknown	SEEG
E1	-23.710	12.605	1.000	unknown	SEEG
E2	-27.026	12.605	2.486	unknown	SEEG
E3	-30.167	12.780	3.447	unknown	SEEG
E4	-33.570	12.954	4.496	unknown	SEEG
E5	-36.799	12.954	5.633	unknown	SEEG
E6	-39.940	12.954	6.594	unknown	SEEG
E7	-43.256	12.954	7.731	unknown	SEEG
E8	-46.223	13.392	8.770	unknown	SEEG
E9	-49.934	13.392	10.318	unknown	SEEG
E10	-53.075	13.392	11.192	unknown	SEEG
E11	-56.478	13.392	12.503	unknown	SEEG
E12	-59.707	13.392	13.552	unknown	SEEG
E13	-63.013	13.560	15.000	unknown	SEEG
F1	-19.542	26.084	5.376	unknown	SEEG
F2	-23.032	26.521	6.774	unknown	SEEG
F3	-26.173	26.783	7.473	unknown	SEEG
F4	-29.576	27.307	8.522	unknown	SEEG
